service_id,date,exception_type
0000000032019091220200610,20200508,1
0000000032019091220200610,20200509,1
0000000032019091220200610,20200511,1
0000000032019091220200610,20200512,1
0000000032019091220200610,20200513,1
0000000032019091220200610,20200514,1
0000000032019091220200610,20200515,1
0000000032019091220200610,20200516,1
0000000032019091220200610,20200518,1
0000000032019091220200610,20200519,1
0000000032019091220200610,20200520,1
0000000032019091220200610,20200521,1
0000000032019091220200610,20200522,1
0000000032019091220200610,20200523,1
0000000032019091220200610,20200525,1
0000000032019091220200610,20200526,1
0000000032019091220200610,20200527,1
0000000032019091220200610,20200528,1
0000000032019091220200610,20200529,1
0000000032019091220200610,20200530,1
0000000032019091220200610,20200601,2
0000000032019091220200610,20200602,2
0000000032019091220200610,20200603,1
0000000032019091220200610,20200604,1
0000000032019091220200610,20200605,1
0000000032019091220200610,20200606,1
0000000032019091220200610,20200608,1
0000000032019091220200610,20200609,1
0000000032019091220200610,20200610,1
0000000052019091220200610,20191225,1
0000000052019091220200610,20191226,1
0000000052019091220200610,20200101,1
0000000052019091220200610,20200106,1
0000000052019091220200610,20200413,1
0000000052019091220200610,20200425,1
0000000052019091220200610,20200501,1
0000000052019091220200610,20200602,1
0000000092019091220200610,20191225,2
0000000092019091220200610,20191226,2
0000000092019091220200610,20200101,2
0000000092019091220200610,20200106,2
0000000092019091220200610,20200413,2
0000000092019091220200610,20200425,2
0000000092019091220200610,20200501,2
0000000092019091220200610,20200602,2
0000000092019092020200610,20191225,2
0000000092019092020200610,20191226,2
0000000092019092020200610,20200101,2
0000000092019092020200610,20200106,2
0000000092019092020200610,20200413,2
0000000092019092020200610,20200425,2
0000000092019092020200610,20200501,2
0000000092019092020200610,20200602,2
0000000102019091220200610,20191207,2
0000000102019091220200610,20191223,2
0000000102019091220200610,20191224,2
0000000102019091220200610,20191225,2
0000000102019091220200610,20191226,2
0000000102019091220200610,20191227,2
0000000102019091220200610,20191228,2
0000000102019091220200610,20191230,2
0000000102019091220200610,20191231,2
0000000102019091220200610,20200101,2
0000000102019091220200610,20200102,2
0000000102019091220200610,20200103,2
0000000102019091220200610,20200104,2
0000000102019091220200610,20200106,2
0000000102019091220200610,20200222,2
0000000102019091220200610,20200224,2
0000000102019091220200610,20200225,2
0000000102019091220200610,20200409,2
0000000102019091220200610,20200410,2
0000000102019091220200610,20200411,2
0000000102019091220200610,20200413,2
0000000102019091220200610,20200414,2
0000000102019091220200610,20200425,2
0000000102019091220200610,20200501,2
0000000102019091220200610,20200502,2
0000000102019091220200610,20200601,2
0000000102019091220200610,20200602,2
0000000102019111820200610,20191207,2
0000000102019111820200610,20191223,2
0000000102019111820200610,20191224,2
0000000102019111820200610,20191225,2
0000000102019111820200610,20191226,2
0000000102019111820200610,20191227,2
0000000102019111820200610,20191228,2
0000000102019111820200610,20191230,2
0000000102019111820200610,20191231,2
0000000102019111820200610,20200101,2
0000000102019111820200610,20200102,2
0000000102019111820200610,20200103,2
0000000102019111820200610,20200104,2
0000000102019111820200610,20200106,2
0000000102019111820200610,20200222,2
0000000102019111820200610,20200224,2
0000000102019111820200610,20200225,2
0000000102019111820200610,20200409,2
0000000102019111820200610,20200410,2
0000000102019111820200610,20200411,2
0000000102019111820200610,20200413,2
0000000102019111820200610,20200414,2
0000000102019111820200610,20200425,2
0000000102019111820200610,20200501,2
0000000102019111820200610,20200502,2
0000000102019111820200610,20200601,2
0000000102019111820200610,20200602,2
0000000252019091220200610,20191225,2
0000000252019091220200610,20191226,2
0000000252019091220200610,20200101,2
0000000252019091220200610,20200106,2
0000000252019091220200610,20200413,2
0000000252019091220200610,20200425,2
0000000252019091220200610,20200501,2
0000000252019091220200610,20200602,2
0000000592019091220200610,20191225,2
0000000592019091220200610,20191226,2
0000000592019091220200610,20200101,2
0000000592019091220200610,20200106,2
0000000592019091220200610,20200413,2
0000000592019091220200610,20200425,2
0000000592019091220200610,20200501,2
0000000592019091220200610,20200602,2
0000000592019111820200610,20191225,2
0000000592019111820200610,20191226,2
0000000592019111820200610,20200101,2
0000000592019111820200610,20200106,2
0000000592019111820200610,20200413,2
0000000592019111820200610,20200425,2
0000000592019111820200610,20200501,2
0000000592019111820200610,20200602,2
0000000602019091220191117,20191115,1
0000000602019091220191117,20191116,1
0000000602019091220200610,20191115,1
0000000602019091220200610,20191116,1
0000000602019091220200610,20191118,1
0000000602019091220200610,20191119,1
0000000602019091220200610,20191120,1
0000000602019091220200610,20191121,1
0000000602019091220200610,20191122,1
0000000602019091220200610,20191123,1
0000000602019091220200610,20191125,1
0000000602019091220200610,20191126,1
0000000602019091220200610,20191127,1
0000000602019091220200610,20191128,1
0000000602019091220200610,20191129,1
0000000602019091220200610,20191130,1
0000000602019091220200610,20191202,1
0000000602019091220200610,20191203,1
0000000602019091220200610,20191204,1
0000000602019091220200610,20191205,1
0000000602019091220200610,20191206,1
0000000602019091220200610,20191207,2
0000000602019091220200610,20191209,1
0000000602019091220200610,20191210,1
0000000602019091220200610,20191211,1
0000000602019091220200610,20191212,1
0000000602019091220200610,20191213,1
0000000602019091220200610,20191214,1
0000000602019091220200610,20191216,1
0000000602019091220200610,20191217,1
0000000602019091220200610,20191218,1
0000000602019091220200610,20191219,1
0000000602019091220200610,20191220,1
0000000602019091220200610,20191221,1
0000000602019091220200610,20191223,2
0000000602019091220200610,20191224,2
0000000602019091220200610,20191225,2
0000000602019091220200610,20191226,2
0000000602019091220200610,20191227,2
0000000602019091220200610,20191228,2
0000000602019091220200610,20191230,2
0000000602019091220200610,20191231,2
0000000602019091220200610,20200101,2
0000000602019091220200610,20200102,2
0000000602019091220200610,20200103,2
0000000602019091220200610,20200104,2
0000000602019091220200610,20200106,2
0000000602019091220200610,20200107,1
0000000602019091220200610,20200108,1
0000000602019091220200610,20200109,1
0000000602019091220200610,20200110,1
0000000602019091220200610,20200111,1
0000000602019091220200610,20200113,1
0000000602019091220200610,20200114,1
0000000602019091220200610,20200115,1
0000000602019091220200610,20200116,1
0000000602019091220200610,20200117,1
0000000602019091220200610,20200118,1
0000000602019091220200610,20200120,1
0000000602019091220200610,20200121,1
0000000602019091220200610,20200122,1
0000000602019091220200610,20200123,1
0000000602019091220200610,20200124,1
0000000602019091220200610,20200125,1
0000000602019091220200610,20200127,1
0000000602019091220200610,20200128,1
0000000602019091220200610,20200129,1
0000000602019091220200610,20200130,1
0000000602019091220200610,20200131,1
0000000602019091220200610,20200201,1
0000000602019091220200610,20200203,1
0000000602019091220200610,20200204,1
0000000602019091220200610,20200205,1
0000000602019091220200610,20200206,1
0000000602019091220200610,20200207,1
0000000602019091220200610,20200208,1
0000000602019091220200610,20200210,1
0000000602019091220200610,20200211,1
0000000602019091220200610,20200212,1
0000000602019091220200610,20200213,1
0000000602019091220200610,20200214,1
0000000602019091220200610,20200215,1
0000000602019091220200610,20200217,1
0000000602019091220200610,20200218,1
0000000602019091220200610,20200219,1
0000000602019091220200610,20200220,1
0000000602019091220200610,20200221,1
0000000602019091220200610,20200222,2
0000000602019091220200610,20200224,2
0000000602019091220200610,20200225,2
0000000602019091220200610,20200226,1
0000000602019091220200610,20200227,1
0000000602019091220200610,20200228,1
0000000602019091220200610,20200229,1
0000000602019091220200610,20200302,1
0000000602019091220200610,20200303,1
0000000602019091220200610,20200304,1
0000000602019091220200610,20200305,1
0000000602019091220200610,20200306,1
0000000602019091220200610,20200307,1
0000000602019091220200610,20200309,1
0000000602019091220200610,20200310,1
0000000602019091220200610,20200311,1
0000000602019091220200610,20200312,1
0000000602019091220200610,20200313,1
0000000602019091220200610,20200314,1
0000000602019091220200610,20200316,1
0000000602019091220200610,20200317,1
0000000602019091220200610,20200318,1
0000000602019091220200610,20200319,1
0000000602019091220200610,20200320,1
0000000602019091220200610,20200321,1
0000000602019091220200610,20200323,1
0000000602019091220200610,20200324,1
0000000602019091220200610,20200325,1
0000000602019091220200610,20200326,1
0000000602019091220200610,20200327,1
0000000602019091220200610,20200328,1
0000000602019091220200610,20200330,1
0000000602019091220200610,20200331,1
0000000602019091220200610,20200401,1
0000000602019091220200610,20200402,1
0000000602019091220200610,20200403,1
0000000602019091220200610,20200404,1
0000000602019091220200610,20200406,1
0000000602019091220200610,20200407,1
0000000602019091220200610,20200408,1
0000000602019091220200610,20200409,2
0000000602019091220200610,20200410,2
0000000602019091220200610,20200411,2
0000000602019091220200610,20200413,2
0000000602019091220200610,20200414,2
0000000602019091220200610,20200415,1
0000000602019091220200610,20200416,1
0000000602019091220200610,20200417,1
0000000602019091220200610,20200418,1
0000000602019091220200610,20200420,1
0000000602019091220200610,20200421,1
0000000602019091220200610,20200422,1
0000000602019091220200610,20200423,1
0000000602019091220200610,20200424,1
0000000602019091220200610,20200425,2
0000000602019091220200610,20200427,1
0000000602019091220200610,20200428,1
0000000602019091220200610,20200429,1
0000000602019091220200610,20200430,1
0000000602019091220200610,20200501,2
0000000602019091220200610,20200502,2
0000000602019091220200610,20200504,1
0000000602019091220200610,20200505,1
0000000602019091220200610,20200506,1
0000000602019091220200610,20200507,1
0000000602019091220200610,20200508,1
0000000602019091220200610,20200509,1
0000000602019091220200610,20200511,1
0000000602019091220200610,20200512,1
0000000602019091220200610,20200513,1
0000000602019091220200610,20200514,1
0000000602019091220200610,20200515,1
0000000602019091220200610,20200516,1
0000000602019091220200610,20200518,1
0000000602019091220200610,20200519,1
0000000602019091220200610,20200520,1
0000000602019091220200610,20200521,1
0000000602019091220200610,20200522,1
0000000602019091220200610,20200523,1
0000000602019091220200610,20200525,1
0000000602019091220200610,20200526,1
0000000602019091220200610,20200527,1
0000000602019091220200610,20200528,1
0000000602019091220200610,20200529,1
0000000602019091220200610,20200530,1
0000000602019091220200610,20200601,2
0000000602019091220200610,20200602,2
0000000602019091220200610,20200603,1
0000000602019091220200610,20200604,1
0000000602019091220200610,20200605,1
0000000602019091220200610,20200606,1
0000000602019091220200610,20200608,1
0000000602019091220200610,20200609,1
0000000602019091220200610,20200610,1
0000000602019111820200610,20191118,1
0000000602019111820200610,20191119,1
0000000602019111820200610,20191120,1
0000000602019111820200610,20191121,1
0000000602019111820200610,20191122,1
0000000602019111820200610,20191123,1
0000000602019111820200610,20191125,1
0000000602019111820200610,20191126,1
0000000602019111820200610,20191127,1
0000000602019111820200610,20191128,1
0000000602019111820200610,20191129,1
0000000602019111820200610,20191130,1
0000000602019111820200610,20191202,1
0000000602019111820200610,20191203,1
0000000602019111820200610,20191204,1
0000000602019111820200610,20191205,1
0000000602019111820200610,20191206,1
0000000602019111820200610,20191207,2
0000000602019111820200610,20191209,1
0000000602019111820200610,20191210,1
0000000602019111820200610,20191211,1
0000000602019111820200610,20191212,1
0000000602019111820200610,20191213,1
0000000602019111820200610,20191214,1
0000000602019111820200610,20191216,1
0000000602019111820200610,20191217,1
0000000602019111820200610,20191218,1
0000000602019111820200610,20191219,1
0000000602019111820200610,20191220,1
0000000602019111820200610,20191221,1
0000000602019111820200610,20191223,2
0000000602019111820200610,20191224,2
0000000602019111820200610,20191225,2
0000000602019111820200610,20191226,2
0000000602019111820200610,20191227,2
0000000602019111820200610,20191228,2
0000000602019111820200610,20191230,2
0000000602019111820200610,20191231,2
0000000602019111820200610,20200101,2
0000000602019111820200610,20200102,2
0000000602019111820200610,20200103,2
0000000602019111820200610,20200104,2
0000000602019111820200610,20200106,2
0000000602019111820200610,20200107,1
0000000602019111820200610,20200108,1
0000000602019111820200610,20200109,1
0000000602019111820200610,20200110,1
0000000602019111820200610,20200111,1
0000000602019111820200610,20200113,1
0000000602019111820200610,20200114,1
0000000602019111820200610,20200115,1
0000000602019111820200610,20200116,1
0000000602019111820200610,20200117,1
0000000602019111820200610,20200118,1
0000000602019111820200610,20200120,1
0000000602019111820200610,20200121,1
0000000602019111820200610,20200122,1
0000000602019111820200610,20200123,1
0000000602019111820200610,20200124,1
0000000602019111820200610,20200125,1
0000000602019111820200610,20200127,1
0000000602019111820200610,20200128,1
0000000602019111820200610,20200129,1
0000000602019111820200610,20200130,1
0000000602019111820200610,20200131,1
0000000602019111820200610,20200201,1
0000000602019111820200610,20200203,1
0000000602019111820200610,20200204,1
0000000602019111820200610,20200205,1
0000000602019111820200610,20200206,1
0000000602019111820200610,20200207,1
0000000602019111820200610,20200208,1
0000000602019111820200610,20200210,1
0000000602019111820200610,20200211,1
0000000602019111820200610,20200212,1
0000000602019111820200610,20200213,1
0000000602019111820200610,20200214,1
0000000602019111820200610,20200215,1
0000000602019111820200610,20200217,1
0000000602019111820200610,20200218,1
0000000602019111820200610,20200219,1
0000000602019111820200610,20200220,1
0000000602019111820200610,20200221,1
0000000602019111820200610,20200222,2
0000000602019111820200610,20200224,2
0000000602019111820200610,20200225,2
0000000602019111820200610,20200226,1
0000000602019111820200610,20200227,1
0000000602019111820200610,20200228,1
0000000602019111820200610,20200229,1
0000000602019111820200610,20200302,1
0000000602019111820200610,20200303,1
0000000602019111820200610,20200304,1
0000000602019111820200610,20200305,1
0000000602019111820200610,20200306,1
0000000602019111820200610,20200307,1
0000000602019111820200610,20200309,1
0000000602019111820200610,20200310,1
0000000602019111820200610,20200311,1
0000000602019111820200610,20200312,1
0000000602019111820200610,20200313,1
0000000602019111820200610,20200314,1
0000000602019111820200610,20200316,1
0000000602019111820200610,20200317,1
0000000602019111820200610,20200318,1
0000000602019111820200610,20200319,1
0000000602019111820200610,20200320,1
0000000602019111820200610,20200321,1
0000000602019111820200610,20200323,1
0000000602019111820200610,20200324,1
0000000602019111820200610,20200325,1
0000000602019111820200610,20200326,1
0000000602019111820200610,20200327,1
0000000602019111820200610,20200328,1
0000000602019111820200610,20200330,1
0000000602019111820200610,20200331,1
0000000602019111820200610,20200401,1
0000000602019111820200610,20200402,1
0000000602019111820200610,20200403,1
0000000602019111820200610,20200404,1
0000000602019111820200610,20200406,1
0000000602019111820200610,20200407,1
0000000602019111820200610,20200408,1
0000000602019111820200610,20200409,2
0000000602019111820200610,20200410,2
0000000602019111820200610,20200411,2
0000000602019111820200610,20200413,2
0000000602019111820200610,20200414,2
0000000602019111820200610,20200415,1
0000000602019111820200610,20200416,1
0000000602019111820200610,20200417,1
0000000602019111820200610,20200418,1
0000000602019111820200610,20200420,1
0000000602019111820200610,20200421,1
0000000602019111820200610,20200422,1
0000000602019111820200610,20200423,1
0000000602019111820200610,20200424,1
0000000602019111820200610,20200425,2
0000000602019111820200610,20200427,1
0000000602019111820200610,20200428,1
0000000602019111820200610,20200429,1
0000000602019111820200610,20200430,1
0000000602019111820200610,20200501,2
0000000602019111820200610,20200502,2
0000000602019111820200610,20200504,1
0000000602019111820200610,20200505,1
0000000602019111820200610,20200506,1
0000000602019111820200610,20200507,1
0000000602019111820200610,20200508,1
0000000602019111820200610,20200509,1
0000000602019111820200610,20200511,1
0000000602019111820200610,20200512,1
0000000602019111820200610,20200513,1
0000000602019111820200610,20200514,1
0000000602019111820200610,20200515,1
0000000602019111820200610,20200516,1
0000000602019111820200610,20200518,1
0000000602019111820200610,20200519,1
0000000602019111820200610,20200520,1
0000000602019111820200610,20200521,1
0000000602019111820200610,20200522,1
0000000602019111820200610,20200523,1
0000000602019111820200610,20200525,1
0000000602019111820200610,20200526,1
0000000602019111820200610,20200527,1
0000000602019111820200610,20200528,1
0000000602019111820200610,20200529,1
0000000602019111820200610,20200530,1
0000000602019111820200610,20200601,2
0000000602019111820200610,20200602,2
0000000602019111820200610,20200603,1
0000000602019111820200610,20200604,1
0000000602019111820200610,20200605,1
0000000602019111820200610,20200606,1
0000000602019111820200610,20200608,1
0000000602019111820200610,20200609,1
0000000602019111820200610,20200610,1
0000000622019091220200610,20191225,1
0000000622019091220200610,20191226,1
0000000622019091220200610,20200101,1
0000000622019091220200610,20200106,1
0000000622019091220200610,20200413,1
0000000622019091220200610,20200425,1
0000000622019091220200610,20200501,1
0000000622019091220200610,20200602,1
0000000662019091220200610,20191225,2
0000000662019091220200610,20191226,2
0000000662019091220200610,20200101,2
0000000662019091220200610,20200106,2
0000000662019091220200610,20200413,2
0000000662019091220200610,20200425,2
0000000662019091220200610,20200501,2
0000000662019091220200610,20200602,2
0000000662019091720200610,20191225,2
0000000662019091720200610,20191226,2
0000000662019091720200610,20200101,2
0000000662019091720200610,20200106,2
0000000662019091720200610,20200413,2
0000000662019091720200610,20200425,2
0000000662019091720200610,20200501,2
0000000662019091720200610,20200602,2
0000000662019111820200610,20191225,2
0000000662019111820200610,20191226,2
0000000662019111820200610,20200101,2
0000000662019111820200610,20200106,2
0000000662019111820200610,20200413,2
0000000662019111820200610,20200425,2
0000000662019111820200610,20200501,2
0000000662019111820200610,20200602,2
0000000672019091220200610,20191207,2
0000000672019091220200610,20191223,2
0000000672019091220200610,20191224,2
0000000672019091220200610,20191225,2
0000000672019091220200610,20191226,2
0000000672019091220200610,20191227,2
0000000672019091220200610,20191228,2
0000000672019091220200610,20191230,2
0000000672019091220200610,20191231,2
0000000672019091220200610,20200101,2
0000000672019091220200610,20200102,2
0000000672019091220200610,20200103,2
0000000672019091220200610,20200104,2
0000000672019091220200610,20200106,2
0000000672019091220200610,20200222,2
0000000672019091220200610,20200224,2
0000000672019091220200610,20200225,2
0000000672019091220200610,20200409,2
0000000672019091220200610,20200410,2
0000000672019091220200610,20200411,2
0000000672019091220200610,20200413,2
0000000672019091220200610,20200414,2
0000000672019091220200610,20200425,2
0000000672019091220200610,20200501,2
0000000672019091220200610,20200502,2
0000000672019091220200610,20200601,2
0000000672019091220200610,20200602,2
0000000672019111820200610,20191207,2
0000000672019111820200610,20191223,2
0000000672019111820200610,20191224,2
0000000672019111820200610,20191225,2
0000000672019111820200610,20191226,2
0000000672019111820200610,20191227,2
0000000672019111820200610,20191228,2
0000000672019111820200610,20191230,2
0000000672019111820200610,20191231,2
0000000672019111820200610,20200101,2
0000000672019111820200610,20200102,2
0000000672019111820200610,20200103,2
0000000672019111820200610,20200104,2
0000000672019111820200610,20200106,2
0000000672019111820200610,20200222,2
0000000672019111820200610,20200224,2
0000000672019111820200610,20200225,2
0000000672019111820200610,20200409,2
0000000672019111820200610,20200410,2
